num_jobs 10000000 num_servers 4 seed 0 dist Hyperexp(2.0, 0.6666666666666666, 0.5)
0.01;3.999260901027439;
0.05;3.999306835074883;
0.1;3.999897368142376;
0.15;4.002181940918494;
0.2;4.007431151762761;
0.25;4.017040564840679;
0.3;4.032376930797168;
0.35;4.054746319903972;
0.4;4.085622760102276;
0.45;4.126876388671667;
0.5;4.180671243287503;
0.55;4.25009572789936;
0.6;4.3392815773953;
0.65;4.454383284993994;
0.7;4.605879136428641;
0.72;4.680074492295428;
0.74;4.764309735980114;
0.76;4.860518357034315;
0.78;4.970944694357133;
0.8;5.099947409175001;
0.82;5.252180744791547;
0.84;5.434996089569114;
0.86;5.66006825091519;
0.88;5.944106979416553;
0.9;6.3189076789297;
0.903;6.385582353831336;
0.906;6.455980379943697;
0.91;6.555756594895781;
0.913;6.635353685448362;
0.916;6.719425869670974;
0.92;6.839693336949824;
0.923;6.936488145633606;
0.926;7.039863870590906;
0.93;7.188635638763346;
0.933;7.309879935895037;
0.936;7.4407386236073805;
0.94;7.633305586356415;
0.943;7.792382635094433;
0.946;7.966720633958973;
0.95;8.227121304071177;
0.953;8.447677870014788;
0.956;8.693758974993564;
0.96;9.068158872338662;
0.97;10.369138519934328;
0.973;10.914761686224914;
0.976;11.585186628029964;
0.98;12.754528061442347;
0.983;13.939313025137752;
0.986;15.63491953922168;
0.99;19.34372144752069;
0.993;24.77430084945457;
0.996;39.44266011675297;
